Book	Member	Employee	DateOfLoan	DateToReturn	DateReturned	LoanId	Rating	LateDays	LateFee
0001048473	305	19	512	1030	744	9680	8	0	0
0002159767	508	1	302	753	322	22069	4	29	4.93
0002159767	508	22	921	623	1454	15325	4	0	0
0002212064	440	2	1200	179	365	11197	5	303	51.51
0002212064	440	19	100	1380	1168	11563	5	173	29.41
0002234440	110	10	327	890	176	4021	6	0	0
0002234440	110	18	1050	371	1475	18107	6	0	0
0002243687	394	5	17	106	1387	9041	8	254	43.18
0002243687	394	13	776	960	1436	6524	8	0	0
0002243776	238	12	857	1214	1230	3675	7	0	0
0002258579	313	8	1355	98	683	14703	5	0	0
0002258579	313	13	14	62	1123	18659	5	0	0
0002258579	313	13	867	759	365	14651	5	214	36.38
0002258579	765	8	1355	98	683	14703	10	0	0
0002258579	765	13	14	62	1123	18659	10	0	0
0002258579	765	13	867	759	365	14651	10	214	36.38
0002261189	864	4	985	1095	1152	21469	9	0	0
0002726874	624	9	323	754	389	2599	7	0	0
0002726874	624	24	1473	23	1508	16009	7	86	14.62
0003135004	988	1	1141	793	1176	21962	5	0	0
0003135004	988	3	527	490	969	9977	5	0	0
0003135004	988	15	957	1381	1385	10758	5	0	0
0003701387	234	15	1317	1139	935	19500	0	106	18.02
0004724119	122	21	789	438	490	15887	10	0	0
0006176607	583	18	381	42	1750	21978	9	112	19.04
0006273637	452	7	998	207	1336	14426	6	0	0
0006278841	92	21	1232	229	683	21177	3	254	43.18
0006385370	203	9	575	1115	1383	1995	0	0	0
0006385370	203	14	753	406	1468	11139	0	0	0
0006385370	203	17	1380	190	974	9856	0	0	0
0006385370	884	9	575	1115	1383	1995	9	0	0
0006385370	884	14	753	406	1468	11139	9	0	0
0006385370	884	17	1380	190	974	9856	9	0	0
0006492347	29	14	72	726	764	4072	0	0	0
0006497683	155	5	1316	688	1205	9501	4	0	0
0006497683	155	12	926	814	1203	8182	4	0	0
0006497683	155	24	822	54	1045	3944	4	0	0
000651202X	404	18	1146	1138	353	19557	6	119	20.23
0006550401	671	13	386	812	459	13644	7	0	0
0007155093	875	10	997	820	1364	12920	6	0	0
0020125305	418	24	962	188	35	18068	4	35	5.95
0020633505	321	23	685	870	434	9474	0	0	0
0020869606	15	11	1206	905	1457	19933	1	0	0
0020973403	522	3	1061	544	946	12113	3	263	44.71
0026885522	512	10	885	154	77	3800	1	0	0
0027655806	165	18	385	1331	924	9234	4	0	0
0027655806	165	22	907	1292	173	3940	4	0	0
0027754510	541	2	105	43	602	18001	0	0	0
0027754510	541	9	1069	967	590	13972	0	0	0
0027754510	541	21	346	8	608	9915	0	0	0
0028615875	467	14	142	640	1140	11783	9	0	0
0028982428	24	3	1390	626	1245	13276	1	0	0
0029311500	19	6	345	122	1253	8143	3	0	0
0030131561	285	3	628	1321	1163	14250	4	0	0
0030226864	722	10	1048	877	468	14928	4	0	0
0030226864	722	16	1424	1414	1407	14502	4	318	54.06
0030419964	689	6	848	572	1331	14195	9	219	37.23
0030693012	588	8	938	1000	797	17007	4	336	57.12
0030899915	393	13	616	1377	680	2347	0	0	0
0060006390	726	7	133	1306	603	14416	1	0	0
0060006390	726	15	352	60	294	13172	1	0	0
0060007192	527	13	207	1464	776	8669	5	0	0
0060011629	926	10	927	1083	902	9715	7	0	0
0060011629	926	17	376	964	305	15360	7	0	0
0060011629	926	24	887	101	1321	20372	7	0	0
0060083425	965	17	1113	391	596	15881	9	327	55.59
