ISBN	BookTitle	BookAuthor	YearOfPublication	Publisher	Pagenumber	Issue	Genre	Dimensions	BookLanguage
0001046438	Liar	Stephen Fry	N/A	Harpercollins Uk	146	13	20.96 x 26.04	ENG	crafts/hobbies
0001048082	Made in America	Bill Bryson	1995	HarperCollins Publishers	296	10	29.85 x 29.85	ENG	coming of age
0001048473	Nothing Can Be Better	Barns &amp; Budd	1996	Atlantic	532	25	20.96 x 26.04	ENG	health/fitness
0001372564	Which Colour?	Sue Dreamer	1989	HarperCollins Publishers	56	3	17.15 x 16.83	ENG	math
0001374869	Baby Plays (Collins Baby and Toddler Series)	Fiona Pragoff	1994	HarperCollins Publishers	358	2	20.96 x 26.04	FR	math
0002005018	Clara Callan	Richard Bruce Wright	2001	HarperFlamingo Canada	328	15	20.96 x 26.04	ENG	satire
0002005395	Deafening	Frances Itani	2003	HarperFlamingo Canada	572	11	20.96 x 26.04	ENG	business/economics
0002116286	There's A Seal in my Sleeping Bag	Lyn Hancock	1992	Harper Collins Canada	690	17	20.96 x 26.04	FR	suspense
0002159767	China Tide	Margaret Cannon	N/A	Harpercollins Publisher	600	4	20.96 x 26.04	ENG	political thriller
0002163713	Cary Grant, haunted idol	Geoffrey Wansell	1983	Collins	164	13	20.96 x 26.04	ENG	philosophy
0002165368	Arthur C. Clarke's mysterious world	Simon Welfare	1980	Collins	354	22	20.96 x 26.04	ENG	biography
0002198274	The first Eden: The Mediterranean world and man	David Attenborough	1987	BBC Books	288	2	20.96 x 26.04	ENG	sports and leisure
0002212064	The Echoing Grove	Rosamond Lehmann	1984	HarperCollins Publishers	669	22	20.96 x 26.04	ENG	guide
0002215810	Lord of the Far Island	Victoria Holt	1975	Collins	185	5	12.70 x 12.70	ENG	memoir
0002219476	The way to dusty death	Alistair MacLean	1973	Collins	233	15	20.96 x 26.04	ENG	cookbook
000223257X	The Family Mashber	Der Nister	1987	HarperCollins Publishers	78	3	17.15 x 16.83	ENG	suspense
0002234440	The Raven on the Water	Andrew Taylor	1991	HarperCollins Publishers	235	5	12.70 x 12.70	ENG	review
0002243687	Brother Frank's gospel hour: And other stories	W. P Kinsella	1994	HarperCollins	604	16	20.96 x 26.04	ENG	true crime
0002243776	Visible Worlds: A Novel	Marilyn Bowering	1997	Harpercollins Canada	117	9	20.96 x 26.04	SP	science
0002243962	Girlfriend In a Coma	Douglas Coupland	N/A	Harper Collins Publishers	562	19	20.96 x 26.04	ENG	satire
0002244098	Dust to dust: Stories	Timothy Findley	1997	HarperCollins	658	20	20.96 x 26.04	ENG	coming of age
0002251760	The Forgetting Room: A Fiction (Byzantium Book)	Nick Bantock	1997	Harpercollins	645	24	12.70 x 12.70	ENG	anthology
0002252376	Of wee sweetie mice and men	Colin Bateman	1996	HarperCollins	210	19	20.96 x 26.04	ENG	humor
0002253305	The biographer's moustache	Kingsley Amis	1995	Flamingo	289	24	20.96 x 26.04	ENG	history
0002253372	A good woman	Lisa Appignanesi	1996	HarperCollins Publishers	529	7	20.96 x 26.04	ENG	crime
0002254182	Maid of the Mist	Colin Bateman	1999	HarperCollins	90	14	20.96 x 26.04	ENG	picture book
0002254301	All the Sweet Promises	Elizabeth Elgin	1996	HarperCollins Publishers	511	10	20.96 x 26.04	ENG	science fiction
0002255006	The Girl Without Anyone	Kelli Deeth	2001	HarperFestival	485	7	20.96 x 26.04	ENG	crime
0002258366	Prospero's Children	Jan Siegel	1999	Voyager	200	24	20.96 x 26.04	ENG	humor
0002258579	Resurrection Club	Christopher Wallace	1999	Harpercollins Uk	171	15	20.96 x 26.04	ENG	comic book
0002261189	Mohammed Maguire	Colin Bateman	2001	HarperCollins	251	24	20.96 x 26.04	ENG	horror
0002550563	Black &amp; White Cats	J.C. Suares	1992	HarperCollins	336	20	20.96 x 26.04	RUS	textbook
0002554119	Labyrinth of Desire: Women, Passion, and Romantic Obsession	Rosemary Sullivan	2001	HarperFlamingo Canada	311	7	20.96 x 26.04	SP	picture book
0002554925	The Country Dried Flower Companion (Country Companion)	Stephen Woodhams	1995	Harpercollins	481	8	20.96 x 26.04	ENG	sports and leisure
0002726874	Quartered Safe Out Here: A Recollection of the War in Burma	George MacDonald Fraser	1994	Acacia Press, Inc.	369	16	20.96 x 26.04	FR	fairytale
0002740230	Keep It Simple: And Get More Out of Life	Nick Page	1999	Trafalgar Square	603	21	12.70 x 12.70	SP	poetry
000274094X	In Search of the World's Worst Writers	Nick Page	2001	Trafalgar Square	108	7	20.96 x 26.04	ENG	biography
0003135004	Collins Book Bus: The Basket-maker's Donkey	Ginny Lapage	1990	HarperCollins Publishers	520	19	20.96 x 26.04	ENG	crafts/hobbies
0003701387	Airport International: Level 4 - Intermediate (Nelson Readers)	Brian Moynahan	1982	Penguin Longman Publishing	478	2	20.96 x 26.04	GER	humor
0004127382	The East India Company Book of Tea	Antony Wild	1995	Harpercollins	129	22	20.96 x 26.04	ENG	graphical novel
0004334787	Collins-Robert French-English, English-French Dictionary	B. T. S. Atkins	1983	Collins	387	20	20.96 x 26.04	ENG	humor
0004704754	Complete Works of William Shakespeare	William Shakespeare	1994	Collins	253	9	20.96 x 26.04	FR	crafts/hobbies
0004709721	Cats Photo Guide (Collins Gem)	Deborah Gill	1998	HarperCollins Publishers	85	14	20.96 x 26.04	ENG	encyclopedia
0004724119	Collins Gem Italian Dictionary, 5e (Collins Gem)	Harpercollins	2001	HarperResource	243	4	20.96 x 26.04	ENG	travel
0006140823	Ross Poldark :POLDARK	Winston Graham	N/A	Collins	672	11	20.96 x 26.04	CRO	journal
0006157688	Grave Mistake	Ngaio Marsh	1979	HarperCollins Publishers Inc	186	19	20.96 x 26.04	ENG	religion and spirituality
0006176267	The Unorthodox Murder of Rabbi Moss	Josef Telushkin	1988	HarperCollins Publishers	204	25	20.96 x 26.04	GER	cookbook
0006176607	Justice	Ian St James	1989	HarperCollins Publishers	294	21	20.96 x 26.04	ENG	humor
0006178316	Flights	Jim Shepard	1990	HarperCollins Publishers	624	19	20.96 x 26.04	ENG	business/economics
0006273637	Heart of Joy	Mother Teresa of Calcutta	1988	HarperCollins Publishers Inc	525	21	20.96 x 26.04	ENG	sports and leisure
0006276199	Alien at St Wilfred's	Adrian Plass	1999	Zondervan	194	12	20.96 x 26.04	ENG	poetry
0006278841	The Diary of a Country Priest	George Barnarnos	1994	HarperCollins Publishers Inc	616	24	20.96 x 26.04	ENG	comic book
0006345530	Rosy Is My Relative	Gerald Durrell	1989	HarperCollins Publishers	480	24	12.70 x 12.70	ENG	crime
0006363121	The Picnic and Suchlike Pandemonium	Gerald Durrell	1981	HarperCollins Publishers	169	16	20.96 x 26.04	ENG	dictionary
0006369553	Blue Above the Chimneys	Christine Marion Fraser	1985	HarperCollins Publishers	75	4	20.96 x 26.04	ENG	autobiography
0006372570	Don't Ask the Price: The Memoirs of the President of Marks &amp; Spencer	Marcus Sieff	1988	HarperCollins Publishers	87	6	12.70 x 12.70	SP	home and garden
0006374093	Making It Happen: Reflections on Leadership	John Harvey Jones	1989	HarperCollins Publishers	640	20	20.96 x 26.04	GER	crafts/hobbies
0006375952	City of Djinns	William Dalrymple	1994	Harpercollins	167	23	20.96 x 26.04	ENG	guide
0006385370	Freedom's Just Another Word	Dakota Hamilton	2000	HarperCollins Publishers	538	12	12.70 x 12.70	ENG	horror
0006475329	Minus Time	Catherine Bush	N/A	Harper Collins Publishers	497	17	20.96 x 26.04	ENG	history
0006476325	Provo	Gordon Stevens	1994	HarperCollins Publishers	652	14	20.96 x 26.04	ENG	action and adventure
0006479383	There Will Be Wolves	Karleen Bradford	1994	Harpercollins Canada	282	1	20.96 x 26.04	ENG	fantasy
0006479561	Sacred Clowns	Tony Hillerman	N/A	Fairmount Books Ltd Remainders	572	24	20.96 x 26.04	ENG	political thriller
0006479650	Thirteenth Child	Karleen Bradford	1995	Harpercollins Canada	213	19	12.70 x 12.70	ENG	alternate history
0006480764	Lost Girls	Andrew Pyper	N/A	Harperperennial	261	14	20.96 x 26.04	ENG	dictionary
0006480837	Castle Tourmandyne	Monica Hughes	1996	Harpercollins Canada	528	7	20.96 x 26.04	FR	poetry
0006481078	A Year of Lesser: A Novel	David Bergen	1997	Harpercollins	56	20	20.96 x 26.04	FR	art/architecture
0006481221	Murder on the Canadian: A Tom Austen Mystery	Eric Wilson	1999	Harpercollins Canada	489	2	20.96 x 26.04	GER	alternate history
000648302X	Before and After	Matthew Thomas	1999	HarperCollins (UK)	476	24	20.96 x 26.04	ENG	comic book
0006485200	The Piano Man's Daughter	Timothy Findley	1999	Britnell Book Wholesalers	231	11	12.70 x 12.70	CRO	suspense
0006492347	Insights from the Outfield (Peanuts at Work &amp; Play)	Charles Schulz	1997	Harpercollins	464	13	20.96 x 26.04	SP	alternate history
0006497683	The Pharmacist	Ingrid Noll	1999	HarperCollins	675	23	20.96 x 26.04	ENG	true crime
0006498000	Winston's War	Michael Dobbs	2003	HarperCollins	184	2	12.70 x 12.70	ENG	western
0006498035	Maid of the Mist	Colin Bateman	N/A	Harpercollins	685	13	20.96 x 26.04	ENG	dictionary
000651202X	A Small Death in Lisbon	Robert Wilson	2000	HarperCollins	358	8	20.96 x 26.04	ENG	guide
0006512062	Trials of Tiffany Trott	Isabel Wolff	1998	Harper Collins Publishers	445	3	17.15 x 16.83	ENG	anthology
0006513409	The making of Minty Malone	Isabel Wolff	1999	HarperCollins	560	22	20.96 x 26.04	ENG	thriller
0006513549	The Money Makers	Harry Bingham	2000	Harpercollins Pub Ltd	393	21	20.96 x 26.04	ENG	action and adventure
0006514278	The Coins of Judas	Scott McBain	2002	HarperCollins	280	15	20.96 x 26.04	CRO	religion and spirituality
0006514480	FUTON FEVER	Dawn Anderson	2000	HarperCollins Publishers	215	9	12.70 x 12.70	ENG	fantasy
0006514588	Three wise men	Martina Devlin	2000	HarperCollins	233	24	20.96 x 26.04	ENG	classic
0006530826	Under The Dragon: Travels in Burma	Rory MacLean	1999	Trafalgar Square	511	21	20.96 x 26.04	GER	home and garden
0006531520	Redcoat	Richard Holmes	2002	HarperCollins	60	7	12.70 x 12.70	ENG	science
0006541046	CAPTAINS &amp; KINGS-JOHNSTON	Jennifer Johnston	1985	HarperCollins Publishers	553	18	20.96 x 26.04	ENG	memoir
0006543200	Deep Diving	Stephanie Conybeare	1989	HarperCollins Publishers	482	6	12.70 x 12.70	ENG	alternate history
0006543545	The bookshop	Penelope Fitzgerald	1989	Flamingo	38	12	20.96 x 26.04	ENG	poetry
0006544738	Illuminations	Maureen Duffy	N/A	Flamingo	534	18	20.96 x 26.04	ENG	thriller
0006547613	Involved	Kate Oriordan	N/A	Flamingo	382	19	20.96 x 26.04	ENG	satire
0006547834	Miss Smillas Feeling for Snow	Peter Hoeg	N/A	Flamingo	612	25	20.96 x 26.04	ENG	children
0006548040	Julip	Jim Harrison	N/A	Flamingo	560	5	12.70 x 12.70	ENG	history
000654861X	Life and Death in Shanghai	Nien Cheng	1995	HarperCollins Publishers	86	8	20.96 x 26.04	ENG	historical fiction
0006548830	Information	Martin Amis	N/A	Flamingo	82	12	12.70 x 12.70	ENG	satire
0006550193	The blue flower	Penelope Fitzgerald	1996	Flamingo	149	11	20.96 x 26.04	ENG	coming of age
0006550231	Statement	Brian Moore	N/A	Flamingo	493	17	20.96 x 26.04	ENG	suspense
0006550401	Father's Music	Dermot Bolger	1998	Harpercollins Pub Ltd	219	2	20.96 x 26.04	SP	diary
0006550789	253	Geoff Ryman	N/A	Flamingo	683	9	20.96 x 26.04	ENG	mystery
0006550924	Seven Years In Tibet	Heinrich Harrer	N/A	Flamingo	467	7	20.96 x 26.04	ENG	horror
0006551076	Ocean In Iowa	Peter Hedges	N/A	Flamingo	283	7	20.96 x 26.04	ENG	western
